,movie_title,year,place,star_cast,rating,vote,link
99, The Kid,1921,10,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.249107072289537,,/title/tt0012349/
100,Amélie,2001,101,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.24642044839244,,/title/tt0211915/
101,Ladri di biciclette,1948,102,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.246240188014145,,/title/tt0040522/
102,Scarface,1983,103,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.244530597561303,,/title/tt0086250/
103,Singin' in the Rain,1952,104,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.244152565808136,,/title/tt0045152/
104,Taxi Driver,1976,105,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.243280100640112,,/title/tt0075314/
105,Lawrence of Arabia,1962,106,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.242474842372241,,/title/tt0056172/
106,Toy Story 3,2010,107,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.241147820144194,,/title/tt0435761/
107,The Sting,1973,108,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.239854936470593,,/title/tt0070735/
108,Metropolis,1927,109,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.232089916164453,,/title/tt0017136/
109,Per qualche dollaro in più,1965,110,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.231402295585848,,/title/tt0059578/
110,Jodaeiye Nader az Simin,2011,111,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.226996981056775,,/title/tt1832382/
111,Ikiru,1952,112,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.226802373122203,,/title/tt0044741/
112,Double Indemnity,1944,113,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.226661499948678,,/title/tt0036775/
113,To Kill a Mockingbird,1962,114,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.22386681570148,,/title/tt0056592/
114,Capharnaüm,2018,115,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.223090663776954,,/title/tt8267604/
115,The Apartment,1960,116,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.217592696855053,,/title/tt0053604/
116,Indiana Jones and the Last Crusade,1989,117,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.217339896718098,,/title/tt0097576/
117,Up,2009,118,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.21154846298399,,/title/tt1049413/
118,LA Confidential,1997,119,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.209863920585265,,/title/tt0119488/
119,Incendies,2010,120,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.209746557539612,,/title/tt1255953/
120,Monty Python and the Holy Grail,1975,121,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.20839965231092,,/title/tt0071853/
121,Heat,1995,122,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.201854005382032,,/title/tt0113277/
122,Rashômon,1950,123,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.19788861938387,,/title/tt0042876/
123,Die Hard,1988,124,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.196569662028486,,/title/tt0095016/
124,Batman Begins,2005,125,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.19592524283061,,/title/tt0372784/
125,Yôjinbô,1961,126,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.195396625730245,,/title/tt0055630/
126,Unforgiven,1992,127,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.189416319326384,,/title/tt0105695/
127,Green Book,2018,128,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.188506858270674,,/title/tt6966692/
128,Der Untergang,2004,129,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.187254815630988,,/title/tt0363163/
129,Bacheha-Ye aseman,1997,130,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184001939565563,,/title/tt0118849/
130,Some Like It Hot,1959,131,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.177536990655256,,/title/tt0053291/
131,Hauru no ugoku shiro,2004,132,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.17191874933851,,/title/tt0347149/
132,Ford v Ferrari,2019,133,"James Mangold (dir.), Matt Damon, Christian Bale",8.168643781629022,,/title/tt1950186/
133,The Great Escape,1963,134,"John Sturges (dir.), Steve McQueen, James Garner",8.167855876895441,,/title/tt0057115/
134,Tonari no Totoro,1988,135,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.16731634881428,,/title/tt0096283/
135,Ran,1985,136,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.165447945201736,,/title/tt0089881/
136,A Beautiful Mind,2001,137,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.16331235175138,,/title/tt0268978/
137,All About Eve,1950,138,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.161513276083877,,/title/tt0042192/
138,Pan's Labyrinth,2006,139,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.158877633945156,,/title/tt0457430/
139,Casino,1995,140,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.157754520366128,,/title/tt0112641/
140,Idi i smotri,1985,141,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.157211727004782,,/title/tt0091251/
141,Raging Bull,1980,142,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.153993222466767,,/title/tt0081398/
142,El secreto de sus ojos,2009,143,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.15397234761495,,/title/tt1305806/
143,"Lock, Stock and Two Smoking Barrels",1998,144,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.15337741389019,,/title/tt0120735/
144,The Wolf of Wall Street,2013,145,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.145620342547515,,/title/tt0993846/
145,The Treasure of the Sierra Madre,1948,146,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.145051785576005,,/title/tt0040897/
146,Judgment at Nuremberg,1961,147,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.141438159824382,,/title/tt0055031/
147,Babam ve Oglum,2005,148,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.138808360778599,,/title/tt0476735/
148,"Three Billboards Outside Ebbing, Missouri",2017,149,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.138594274295402,,/title/tt5027774/
149,Chinatown,1974,150,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.134514805031992,,/title/tt0071315/
150,The Gold Rush,1925,151,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.133295618229411,,/title/tt0015864/
151,Dial M for Murder,1954,152,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.130821296400667,,/title/tt0046912/
152,There Will Be Blood,2007,153,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.13041001875225,,/title/tt0469494/
153,V for Vendetta,2005,154,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.128571184010585,,/title/tt0434409/
154,Inside Out,2015,155,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.128211905347122,,/title/tt2096673/
155,Det sjunde inseglet,1957,156,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.126357272691344,,/title/tt0050976/
156,Warrior,2011,157,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.125026806290691,,/title/tt1291584/
157,No Country for Old Men,2007,158,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.120846342276593,,/title/tt0477348/
158,Trainspotting,1996,159,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.119631251810262,,/title/tt0117951/
159,Room,2015,160,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1192183445743,,/title/tt3170832/
160,The Elephant Man,1980,161,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.11830373400039,,/title/tt0080678/
161,Drishyam,2013,162,"Jeethu Joseph (dir.), Mohanlal, Meena",8.116551534405126,,/title/tt3417422/
162,The Sixth Sense,1999,163,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.114348759129637,,/title/tt0167404/
163,Shutter Island,2010,164,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.114132654989884,,/title/tt1130884/
164,The Thing,1982,165,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.111472457406855,,/title/tt0084787/
165,Gone with the Wind,1939,166,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.108521394725635,,/title/tt0031381/
166,The Bridge on the River Kwai,1957,167,"David Lean (dir.), William Holden, Alec Guinness",8.108190631342353,,/title/tt0050212/
167,Blade Runner,1982,168,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.106486071536624,,/title/tt0083658/
168,Andhadhun,2018,169,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.105699909096723,,/title/tt8108198/
169,On the Waterfront,1954,170,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.105633596008804,,/title/tt0047296/
170,The Third Man,1949,171,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.105375047598839,,/title/tt0041959/
171,Jurassic Park,1993,172,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.105037804363054,,/title/tt0107290/
172,Finding Nemo,2003,173,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.103761184685496,,/title/tt0266543/
173,Smultronstället,1957,174,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.103235162990169,,/title/tt0050986/
174,Fargo,1996,175,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.099851831156508,,/title/tt0116282/
175,Gran Torino,2008,176,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.099496651415002,,/title/tt1205489/
176,Eskiya,1996,177,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.098724304868746,,/title/tt0116231/
177,Kill Bill: Vol 1,2003,178,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.097667519112736,,/title/tt0266697/
178,The Deer Hunter,1978,179,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.09552199035276,,/title/tt0077416/
179,Stalker,1979,180,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.093106914214522,,/title/tt0079944/
180,The Truman Show,1998,181,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.092548134723831,,/title/tt0120382/
181,The Big Lebowski,1998,182,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.091362071915295,,/title/tt0118715/
182,Tôkyô monogatari,1953,183,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.091164249339142,,/title/tt0046438/
183,Relatos salvajes,2014,184,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.090021213075513,,/title/tt3011894/
184,Mary and Max,2009,185,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.088111514279934,,/title/tt0978762/
185,Gone Girl,2014,186,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.083364856406087,,/title/tt2267998/
186,In the Name of the Father,1993,187,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.08335048312124,,/title/tt0107207/
187,Hacksaw Ridge,2016,188,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.082743622797173,,/title/tt2119532/
188,Salinui chueok,2003,189,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.078428291263478,,/title/tt0353969/
189,The General,1926,190,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.078256252209469,,/title/tt0017925/
190,How to Train Your Dragon,2010,191,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.077946828959115,,/title/tt0892769/
191,Mr Smith Goes to Washington,1939,192,"Frank Capra (dir.), James Stewart, Jean Arthur",8.077838497044525,,/title/tt0031679/
192,Sherlock Jr,1924,193,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.077329568951088,,/title/tt0015324/
193,The Grand Budapest Hotel,2014,194,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.074939146693087,,/title/tt2278388/
194,Persona,1966,195,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.070999819249506,,/title/tt0060827/
195,Before Sunrise,1995,196,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.070591909694063,,/title/tt0112471/
196,Catch Me If You Can,2002,197,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.068609158692098,,/title/tt0264464/
197,Cool Hand Luke,1967,198,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.062769569865015,,/title/tt0061512/
198,Into the Wild,2007,199,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.062765275845667,,/title/tt0758758/
199,12 Years a Slave,2013,200,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.062212911820561,,/title/tt2024544/
200,Prisoners,2013,201,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.062023099682918,,/title/tt1392214/
201,Le salaire de la peur,1953,202,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.061515445240426,,/title/tt0046268/
202,Network,1976,203,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.06101384822371,,/title/tt0074958/
203,Stand by Me,1986,204,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.059291435824937,,/title/tt0092005/
204,Life of Brian,1979,205,"Terry Jones (dir.), Graham Chapman, John Cleese",8.059120032505943,,/title/tt0079470/
205,Mad Max: Fury Road,2015,206,"George Miller (dir.), Tom Hardy, Charlize Theron",8.057807504086941,,/title/tt1392190/
206,Platoon,1986,207,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.05617120211864,,/title/tt0091763/
207,La passion de Jeanne d'Arc,1928,208,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.05580215346197,,/title/tt0019254/
208,Million Dollar Baby,2004,209,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.053758665306619,,/title/tt0405159/
209,Rush,2013,210,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.053484025940278,,/title/tt1979320/
